Date,Vol
2022-03-21,28009
2022-03-22,38192
2022-03-23,36894
2022-03-24,33124
2022-03-25,35653
2022-03-26,31668
2022-03-27,23622
2022-03-28,29000
2022-03-29,27534
2022-03-30,28339
2022-03-31,28766
2022-04-01,31751
2022-04-02,26499
2022-04-03,17309
2022-04-04,43047
2022-04-05,42603
2022-04-06,41273
2022-04-07,41793
2022-04-08,45423
2022-04-09,42269
2022-04-10,37432
2022-04-11,23465
2022-04-12,7016
2022-04-13,0
2022-04-23,14906
2022-04-24,24565
2022-04-25,18306
2022-04-26,19439
2022-04-27,19836
2022-04-28,21255
2022-04-29,21653
2022-04-30,17154
2022-05-01,13920
2022-05-02,38080
2022-05-03,39876
2022-05-04,38097
2022-05-05,51655
2022-05-06,47326
2022-05-07,38705
2022-05-08,38510
2022-05-09,47587
2022-05-10,48263
2022-05-11,56530
2022-05-12,65496
2022-05-13,66642
2022-05-14,59780
2022-05-15,51263
2022-05-16,63507
2022-05-17,66468
2022-05-18,65572
2022-05-19,66322
2022-05-20,66204
2022-05-21,58529
2022-05-22,51374
2022-05-23,63805
2022-05-24,53528
2022-05-25,52229
2022-06-06,21176
2022-06-07,21292
2022-06-08,21969
2022-06-09,20865
2022-06-10,23868
2022-06-11,70161
2022-06-12,72055
2022-06-13,91206
2022-06-14,92314
2022-06-15,93926
2022-06-16,90803
2022-06-17,90152
2022-06-18,74587
2022-06-19,76967
2022-06-20,83093
2022-06-21,89384
2022-06-22,85899
2022-06-23,91782
2022-06-24,85348
2022-06-25,61544
2022-06-26,57830
2022-06-27,64141
2022-06-28,78177
2022-06-29,34915
2022-06-30,1747
2022-07-23,1846
2022-07-24,1421
2022-07-25,2093
2022-07-26,2132
2022-07-27,2013
2022-07-28,2145
2022-07-29,2257
2022-07-30,1799
2022-07-31,1306
2022-08-01,2108
2022-08-02,2192
2022-08-03,2105
2022-08-04,2196
2022-08-05,2359
2022-08-17,28708
2022-08-18,29463
2022-08-19,31852
2022-08-20,29730
2022-08-21,26860
2022-08-22,28293
2022-08-23,29816
2022-08-24,29893
2022-08-25,31182
2022-08-26,31937
2022-08-27,29315
2022-08-28,26906
2022-08-29,29113
